energy,diameter,dfec_lynch,dfec_structure
23,4.32929292929,12495.5288095,3738.75091914
23,4.40909090909,12584.2984126,3874.27279794
23,4.48888888889,12664.6756447,3983.6222391
23,4.56868686869,12737.1797173,4061.42030619
23,4.64848484848,12802.3038416,4128.97225476
23,4.72828282828,12860.5148106,4209.29247747
23,4.80808080808,12912.2531962,4304.24200305
23,4.88787878788,12957.9339119,4398.60971692
23,4.96767676768,12997.9470777,4478.27296675
23,5.04747474747,13032.658998,4545.2688525
23,5.12727272727,13062.4132889,4615.49653634
23,5.20707070707,13087.532024,4703.99051841
23,5.28686868687,13108.316873,4814.25124927
23,5.36666666667,13125.0503441,4940.87351053
23,5.44646464646,13137.9968292,5076.05271046
23,5.52626262626,13147.4038132,5204.45208863
23,5.60606060606,13153.5028491,5296.39722696
23,5.68585858586,13156.510613,5320.2459986
23,5.76565656566,13156.6298811,5268.83660003
23,5.84545454545,13154.0503677,5172.7360688
23,5.92525252525,13148.9496874,5084.86479475
23,6.00505050505,13141.4940358,5051.87954902
23,6.08484848485,13131.8390467,5096.39367235
23,6.16464646465,13120.130431,5215.2360274
23,6.24444444444,13106.5046414,5385.8314259
23,6.32424242424,13091.0895385,5575.90030177
23,6.40404040404,13074.0048761,5755.91314761
23,6.48383838384,13055.3629502,5909.95736084
23,6.56363636364,13035.2689848,6036.50662637
23,6.64343434343,13013.821663,6138.18505029
23,6.72323232323,12991.1135332,6211.55827151
23,6.80303030303,12967.2313934,6246.4591254
23,6.88282828283,12942.2567446,6232.97887259
23,6.96262626263,12916.2660351,6168.94479481
23,7.04242424242,12889.33107,6063.44864319
23,7.12222222222,12861.5192383,5935.47735136
23,7.20202020202,12832.8938473,5809.10119111
23,7.28181818182,12803.5143985,5707.9737209
23,7.36161616162,12773.4367642,5650.82969823
23,7.44141414141,12742.7134835,5648.28743826
23,7.52121212121,12711.393905,5701.07902341
23,7.60101010101,12679.5244708,5799.7065863
23,7.68080808081,12647.148839,5925.40362435
23,7.76060606061,12614.3080479,6052.8065042
23,7.8404040404,12581.0407272,6155.20660288
23,7.9202020202,12547.3832011,6212.24745924
23,8.0,12513.3696784,6217.33417219
24,0.166,475.026177799,112.178687082
24,0.261,750.115610695,179.707751674
24,0.507,1460.19102816,353.388714608
24,0.69,1987.94374908,479.329145587
24,0.89,2564.57391175,626.499584673
24,1.18,3400.58180858,829.037025036
24,1.54,4438.30304258,1008.84504231
24,1.7,4899.49829584,1152.0945478
24,1.86,5360.68635439,1354.47905049
24,3.62,10210.8098931,2576.63773542
24,7.75,10976.6436275,5433.53097195
24,0.1,282.955175039,64.1172361028
24,0.179797979798,515.001285004,122.004128858
24,0.259595959596,746.065155962,178.725086007
24,0.339393939394,976.581187818,234.778941417
24,0.419191919192,1206.86567243,290.325556006
24,0.49898989899,1437.09464769,347.166250578
24,0.578787878788,1667.24602285,402.722064721
24,0.658585858586,1897.35453999,454.08058516
24,0.738383838384,2127.45110095,519.909223472
24,0.818181818182,2357.52082554,560.248574239
24,0.89797979798,2587.57759107,634.446439303
24,0.977777777778,2817.62969307,687.265134441
24,1.05757575758,3047.66891094,715.600115091
24,1.13737373737,3277.70357074,780.689960286
24,1.21717171717,3507.7354642,871.521183538
24,1.29696969697,3737.76016214,942.175883631
24,1.37676767677,3967.78331092,972.954204325
24,1.45656565657,4197.80434149,983.213094249
24,1.53636363636,4427.82106251,1007.03223115
24,1.61616161616,4657.83742153,1063.18707767
24,1.69595959596,4887.85195599,1147.3202338
24,1.77575757576,5117.86385354,1246.94284523
24,1.85555555556,5347.87584841,1348.90931253
24,1.93535353535,5577.88620118,1443.80881749
24,2.01515151515,5807.89497251,1523.51168016
24,2.09494949495,6037.90398268,1585.59710525
24,2.17474747475,6267.91149221,1626.99274966
24,2.25454545455,6497.91812768,1653.70452127
24,2.33434343434,6727.92500272,1660.57176546
24,2.41414141414,6957.93048858,1663.35824597
24,2.49393939394,7187.93560598,1657.66777727
24,2.57373737374,7417.94091007,1648.05864792
24,2.65353535354,7647.94487825,1650.62928683
24,2.73333333333,7877.94889359,1658.48723008
24,2.81313131313,8107.9530591,1673.31336083
24,2.89292929293,8337.95572718,1709.22368123
24,2.97272727273,8567.95895547,1762.40816342
24,3.05252525253,8797.96316267,1829.49032669
24,3.13232323232,9027.66424144,1917.01002136
24,3.21212121212,9251.70417315,2017.17771391
24,3.29191919192,9465.28803271,2119.88331109
24,3.37171717172,9666.6778282,2229.29457905
24,3.45151515152,9855.19862821,2342.63651565
24,3.53131313131,10030.7275292,2453.20194018
24,3.61111111111,10193.4594481,2563.87288097
24,3.69090909091,10343.7800655,2682.83980057
24,3.77070707071,10482.1882684,2802.41004602
24,3.85050505051,10609.2456689,2901.83005985
24,3.9303030303,10725.5447046,2984.4449475
24,4.0101010101,10831.6870733,3077.54575951
24,4.0898989899,10928.2691096,3194.18698609
24,4.1696969697,11015.8726378,3323.07175065
24,4.24949494949,11095.0588507,3442.23436439
24,4.32929292929,11166.3645265,3532.05645279
24,4.40909090909,11230.3000272,3596.90150513
24,4.48888888889,11287.3483251,3662.30263882
24,4.56868686869,11337.9649009,3743.34636847
24,4.64848484848,11382.5781071,3832.29936795
24,4.72828282828,11421.5899146,3912.24505717
24,4.80808080808,11455.3769985,3977.18183252
24,4.88787878788,11484.2918539,4038.71818074
24,4.96767676768,11508.6640325,4113.78693167
24,5.04747474747,11528.8014297,4209.86934609
24,5.12727272727,11544.9915245,4323.23689305
24,5.20707070707,11557.5026818,4446.56388314
24,5.28686868687,11566.5853439,4566.59252575
24,5.36666666667,11572.4731675,4655.58367842
24,5.44646464646,11575.3841945,4681.30025081
24,5.52626262626,11575.521853,4634.86187705
24,5.60606060606,11573.0759452,4546.2660604
24,5.68585858586,11568.2236342,4468.30784652
24,5.76565656566,11561.1302499,4446.00865379
24,5.84545454545,11551.9501279,4498.7463785
24,5.92525252525,11540.827408,4619.72443443
24,6.00505050505,11527.8966731,4783.59046448
24,6.08484848485,11513.2836539,4957.67587412
24,6.16464646465,11497.1058562,5115.73801213
24,6.24444444444,11479.4730688,5247.25849613
24,6.32424242424,11460.4879504,5353.65666445
24,6.40404040404,11440.2465126,5435.69689976
24,6.48383838384,11418.8385299,5486.30625173
24,6.56363636364,11396.3480272,5494.49045381
24,6.64343434343,11372.8536435,5453.97306907
24,6.72323232323,11348.4289704,5369.21864653
24,6.80303030303,11323.142947,5256.04421491
24,6.88282828283,11297.0601289,5137.45865477
24,6.96262626263,11270.2409748,5037.66488096
24,7.04242424242,11242.7421661,4976.80329522
24,7.12222222222,11214.6168118,4967.14132306
24,7.20202020202,11185.9146965,5010.85196688
24,7.28181818182,11156.6825264,5099.42779182
24,7.36161616162,11126.9640781,5214.58913712
24,7.44141414141,11096.8004137,5331.08723196
24,7.52121212121,11066.2300738,5422.3891182
24,7.60101010101,11035.2892019,5469.05108883
24,7.68080808081,11004.0117314,5466.46599921
24,7.76060606061,10972.4295177,5426.93680635
24,7.8404040404,10940.5724366,5374.21111522
24,7.9202020202,10908.4685494,5334.21544957
24,8.0,10876.1442074,5327.52749186
25,0.166,437.826031879,103.535543133
25,0.261,691.209858167,165.72767222
25,0.507,1345.37172984,325.00244897
25,0.69,1831.56494354,446.90274362
25,0.89,2362.81095826,583.738398445
25,1.18,3133.01919675,782.206607181
25,1.54,4089.07342999,931.061318114
25,1.7,4513.97255211,1097.25816263
25,1.86,4938.86809777,1279.0550481
25,3.62,9271.22179965,2478.76573882
25,7.75,9593.19699716,4741.42946519
25,0.1,261.085228895,59.5544192148
25,0.179797979798,474.783865555,112.726410111
25,0.259595959596,687.472589993,164.819243185
25,0.339393939394,899.846408826,216.672423775
25,0.419191919192,1112.01224693,268.316291357
25,0.49898989899,1324.07957309,320.466988008
25,0.578787878788,1536.11366684,373.28890526
25,0.658585858586,1748.11758156,420.762587319
25,0.738383838384,1960.09156255,473.973735493
25,0.818181818182,2172.05128156,520.245995073
25,0.89797979798,2384.00461811,589.034151239
25,0.977777777778,2595.94732685,618.95795743
25,1.05757575758,2807.88114213,659.794527383
25,1.13737373737,3019.81203459,738.159380805
25,1.21717171717,3231.73965571,814.529212531
25,1.29696969697,3443.66205472,855.11517561
25,1.37676767677,3655.58160233,867.119505807
